Antonín Dvořák | Symphony No.9, Op.95 | "" → "From the New World, Do Novo Mundo, New World Symphony" | Op.95 ; B.178 | title: "Symphony No.9" + opus: "Op.95"
Wolfgang Amadeus Mozart | Piano Sonata No.11 in A major, K.331/300i | "" → "Turkish March Sonata, Sonata da Marcha Turca" | K.331 ; K⁶.300i ; Op.6 No.2 | title: "Piano Sonata No.11" + catalog: "K.331"
Charles Gounod | Ave Maria, CG 89 | "" → "Ave Maria de Gounod, Ave Maria (sobre prelúdio de Bach)" | CG 89 | title: "Ave Maria"
Claude Debussy | La mer | "" → "The Sea, Três Esboços Sinfônicos" | CD 111 ; L.109 | title: "La Mer" + catalog: "L.109"
Claude Debussy | Prélude à l'après-midi d'un faune | "" → "Prelude to the Afternoon of a Faun, Prelúdio à Tarde de um Fauno" | CD 87 ; L.86 | title: "Prélude à l'après-midi d'un faune" + catalog: "L.86"
Edward Elgar | Pomp and Circumstance March No. 4 | "" → "Marcha da Coroação, Marcha Triunfal, Pomp and Circumstance March No. 1" | Op.39 No.4 | title: "Pomp and Circumstance" + opus: "Op.39"
Edward Elgar | Pomp and Circumstance March No.1, Op.39 No.1 | "" → "Marcha da Coroação, Marcha Triunfal, Pomp and Circumstance March No. 1" | Op.39 No.1 | title: "Pomp and Circumstance" + opus: "Op.39"
Edward Elgar | Pomp and Circumstance March No.2, Op.39 No.2 | "" → "Marcha da Coroação, Marcha Triunfal, Pomp and Circumstance March No. 1" | Op.39 No.2 | title: "Pomp and Circumstance" + opus: "Op.39"
Edward Elgar | Pomp and Circumstance March No.3, Op.39 No.3 | "" → "Marcha da Coroação, Marcha Triunfal, Pomp and Circumstance March No. 1" | Op.39 No.3 | title: "Pomp and Circumstance" + opus: "Op.39"
Edward Elgar | Pomp and Circumstance March No.4, Op.39 No.4 | "" → "Marcha da Coroação, Marcha Triunfal, Pomp and Circumstance March No. 1" | Op.39 No.4 | title: "Pomp and Circumstance" + opus: "Op.39"
Edward Elgar | Pomp and Circumstance March No.5, Op.39 No.5 | "" → "Marcha da Coroação, Marcha Triunfal, Pomp and Circumstance March No. 1" | Op.39 No.5 | title: "Pomp and Circumstance" + opus: "Op.39"
Edward Elgar | Pomp and Circumstance Marches, Op.39 | "" → "Marcha da Coroação, Marcha Triunfal, Pomp and Circumstance March No. 1" | Op.39 | title: "Pomp and Circumstance" + opus: "Op.39"
